CMDLINE C:\Users\henry\AppData\Local\Microsoft\WindowsApps\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\python.exe .\MemoryProfiling.py
MEM 1.562500 1619696863.9034
MEM 11.433594 1619696864.0141
MEM 17.324219 1619696864.1209
MEM 21.695312 1619696864.2306
MEM 26.328125 1619696864.3374
MEM 29.402344 1619696864.4466
MEM 32.402344 1619696864.5556
MEM 34.972656 1619696864.6666
MEM 38.628906 1619696864.7712
MEM 41.679688 1619696864.8797
MEM 44.281250 1619696864.9940
MEM 46.031250 1619696865.0992
MEM 49.218750 1619696865.2089
MEM 54.167969 1619696865.3169
MEM 57.714844 1619696865.4249
MEM 60.613281 1619696865.5346
MEM 63.285156 1619696865.6440
MEM 66.000000 1619696865.7557
MEM 92.300781 1619696865.8642
MEM 168.093750 1619696865.9749
MEM 204.308594 1619696866.0848
MEM 150.648438 1619696866.1960
MEM 118.339844 1619696866.3077
MEM 216.667969 1619696866.4169
MEM 218.406250 1619696866.5286
MEM 218.406250 1619696866.6393
MEM 218.656250 1619696866.7470
MEM 218.656250 1619696866.8587
MEM 218.656250 1619696866.9684
MEM 218.656250 1619696867.0771
MEM 218.656250 1619696867.1858
MEM 218.656250 1619696867.2982
MEM 218.656250 1619696867.4059
MEM 218.843750 1619696867.5196
MEM 218.843750 1619696867.6236
MEM 218.843750 1619696867.7318
MEM 218.843750 1619696867.8420
MEM 218.843750 1619696867.9527
MEM 218.843750 1619696868.0604
MEM 218.843750 1619696868.1761
MEM 218.843750 1619696868.2779
MEM 218.843750 1619696868.3886
MEM 218.843750 1619696868.4983
MEM 218.843750 1619696868.6090
MEM 218.843750 1619696868.7157
MEM 218.925781 1619696868.8260
MEM 218.953125 1619696868.9358
MEM 218.996094 1619696869.0465
MEM 219.035156 1619696869.1562
MEM 219.035156 1619696869.2674
MEM 219.035156 1619696869.3766
MEM 219.035156 1619696869.4873
MEM 219.035156 1619696869.5940
MEM 219.035156 1619696869.7047
MEM 219.035156 1619696869.8124
MEM 219.035156 1619696869.9221
MEM 221.492188 1619696870.0318
MEM 221.492188 1619696870.1395
MEM 221.492188 1619696870.2488
MEM 221.492188 1619696870.3590
MEM 221.492188 1619696870.4737
MEM 221.492188 1619696870.5784
MEM 221.492188 1619696870.6901
MEM 221.492188 1619696870.8014
MEM 221.492188 1619696870.9161
MEM 221.492188 1619696871.0228
MEM 221.492188 1619696871.1275
MEM 221.492188 1619696871.2412
MEM 221.492188 1619696871.3489
MEM 221.492188 1619696871.4556
MEM 221.492188 1619696871.5643
MEM 123.621094 1619696871.6810
MEM 268.566406 1619696871.7833
MEM 220.707031 1619696871.8920
MEM 220.703125 1619696872.0022
MEM 220.699219 1619696872.1123
MEM 220.695312 1619696872.2290
MEM 220.746094 1619696872.3327
MEM 220.863281 1619696872.4415
MEM 220.980469 1619696872.5502
MEM 221.039062 1619696872.6593
MEM 221.160156 1619696872.7715
MEM 221.277344 1619696872.8782
MEM 221.394531 1619696872.9859
MEM 221.511719 1619696873.0946
MEM 221.628906 1619696873.2043
MEM 221.746094 1619696873.3150
MEM 221.871094 1619696873.4217
MEM 221.988281 1619696873.5305
MEM 222.105469 1619696873.6392
MEM 222.222656 1619696873.7479
MEM 222.343750 1619696873.8556
MEM 222.460938 1619696873.9663
MEM 222.519531 1619696874.0777
MEM 222.578125 1619696874.1879
MEM 222.636719 1619696874.2942
MEM 222.761719 1619696874.4049
MEM 222.878906 1619696874.5136
MEM 222.996094 1619696874.6223
MEM 223.113281 1619696874.7305
MEM 223.230469 1619696874.8372
MEM 223.347656 1619696874.9479
MEM 223.464844 1619696875.0576
MEM 223.593750 1619696875.1664
MEM 223.710938 1619696875.2761
MEM 223.828125 1619696875.3868
MEM 223.945312 1619696875.4969
MEM 224.062500 1619696875.6077
MEM 224.179688 1619696875.7185
MEM 224.296875 1619696875.8272
MEM 224.421875 1619696875.9349
MEM 224.539062 1619696876.0446
MEM 224.656250 1619696876.1514
MEM 224.777344 1619696876.2611
MEM 224.894531 1619696876.3698
MEM 225.011719 1619696876.4795
MEM 225.195312 1619696876.5922
MEM 225.253906 1619696876.7019
MEM 225.371094 1619696876.8096
MEM 225.488281 1619696876.9183
MEM 225.605469 1619696877.0260
MEM 225.781250 1619696877.1347
MEM 225.839844 1619696877.2434
MEM 226.023438 1619696877.3551
MEM 226.140625 1619696877.4629
MEM 226.257812 1619696877.5713
MEM 226.375000 1619696877.6820
MEM 226.492188 1619696877.7933
MEM 226.609375 1619696877.9040
MEM 226.726562 1619696878.0132
MEM 226.851562 1619696878.1249
MEM 226.968750 1619696878.2326
MEM 227.085938 1619696878.3413
MEM 227.203125 1619696878.4511
MEM 227.320312 1619696878.5608
MEM 227.437500 1619696878.6715
MEM 227.554688 1619696878.7753
MEM 227.679688 1619696878.8859
MEM 227.796875 1619696878.9986
MEM 227.914062 1619696879.1063
MEM 228.031250 1619696879.2170
MEM 228.148438 1619696879.3281
MEM 228.265625 1619696879.4348
MEM 228.382812 1619696879.5443
MEM 228.511719 1619696879.6520
MEM 228.628906 1619696879.7593
MEM 228.746094 1619696879.8685
MEM 228.863281 1619696879.9785
MEM 228.980469 1619696880.0897
